2016-01-03 18:52:25.2193 DEBUG ++@@53,90;	
2016-01-03 18:52:25.2193 DEBUG ++@@91,90;	
2016-01-03 18:52:25.2193 DEBUG ++@@53,91;	
2016-01-03 18:52:25.2353 DEBUG ++@@58,57;	
2016-01-03 18:52:25.2353 DEBUG ++@@57,86;	
2016-01-03 18:52:25.2353 DEBUG ++@@57,56;	
2016-01-03 18:52:25.2523 DEBUG ++@@320,321;	
2016-01-03 18:52:25.2523 DEBUG ++@@199,320;	
2016-01-03 18:52:25.2523 DEBUG ++@@321,199;	
2016-01-03 18:52:25.2693 DEBUG ++@@111,112;	
2016-01-03 18:52:25.2693 DEBUG ++@@68,111;	
2016-01-03 18:52:25.2693 DEBUG ++@@112,68;	
2016-01-03 18:52:25.2863 DEBUG ++@@111,110;	
2016-01-03 18:52:25.2863 DEBUG ++@@111,66;	
2016-01-03 18:52:25.2974 DEBUG ++@@321,111;	
2016-01-03 18:52:25.2974 DEBUG ++@@68,321;	
2016-01-03 18:52:25.2974 DEBUG ++@@66,65;	
2016-01-03 18:52:25.3134 DEBUG ++@@65,85;	
2016-01-03 18:52:25.3134 DEBUG ++@@65,64;	
2016-01-03 18:52:25.3134 DEBUG ++@@64,85;	
2016-01-03 18:52:25.3304 DEBUG ++@@84,85;	
2016-01-03 18:52:25.3304 DEBUG ++@@64,84;	
2016-01-03 18:52:25.3304 DEBUG ++@@84,63;	
2016-01-03 18:52:25.3474 DEBUG ++@@84,314;	
2016-01-03 18:52:25.3474 DEBUG ++@@317,314;	
2016-01-03 18:52:25.3474 DEBUG ++@@84,317;	
2016-01-03 18:52:25.3634 DEBUG ++@@64,317;	
2016-01-03 18:52:25.3634 DEBUG ++@@109,110;	
2016-01-03 18:52:25.3634 DEBUG ++@@99,109;	
2016-01-03 18:52:25.3804 DEBUG ++@@110,99;	
2016-01-03 18:52:25.3804 DEBUG ++@@97,99;	
2016-01-03 18:52:25.3914 DEBUG ++@@96,99;	
2016-01-03 18:52:25.3914 DEBUG ++@@100,109;	
2016-01-03 18:52:25.3914 DEBUG ++@@99,100;	
2016-01-03 18:52:25.4084 DEBUG ++@@113,122;	
2016-01-03 18:52:25.4084 DEBUG ++@@110,113;	
2016-01-03 18:52:25.4084 DEBUG ++@@109,113;	
2016-01-03 18:52:25.4254 DEBUG ++@@121,122;	
2016-01-03 18:52:25.4254 DEBUG ++@@113,121;	
2016-01-03 18:52:25.4254 DEBUG ++@@120,76;	
2016-01-03 18:52:25.4425 DEBUG ++@@121,120;	
2016-01-03 18:52:25.4425 DEBUG ++@@76,121;	
2016-01-03 18:52:25.4425 DEBUG ++@@78,76;	
2016-01-03 18:52:25.4585 DEBUG ++@@120,78;	
2016-01-03 18:52:25.4585 DEBUG ++@@78,41;	
2016-01-03 18:52:25.4695 DEBUG ++@@79,78;	
2016-01-03 18:52:25.4695 DEBUG ++@@41,79;	
2016-01-03 18:52:25.4695 DEBUG ++@@42,78;	
2016-01-03 18:52:25.4865 DEBUG ++@@120,42;	
2016-01-03 18:52:25.4865 DEBUG ++@@42,41;	
2016-01-03 18:52:25.4865 DEBUG ++@@178,177;	
2016-01-03 18:52:25.5035 DEBUG ++@@198,178;	
2016-01-03 18:52:25.5035 DEBUG ++@@177,198;	
2016-01-03 18:52:25.5035 DEBUG ++@@71,70;	
2016-01-03 18:52:25.5205 DEBUG ++@@70,112;	
2016-01-03 18:52:25.5205 DEBUG ++@@70,177;	
2016-01-03 18:52:25.5205 DEBUG ++@@178,70;	
2016-01-03 18:52:25.5376 DEBUG ++@@71,177;	
2016-01-03 18:52:25.5376 DEBUG ++@@348,147;	
2016-01-03 18:52:25.5485 DEBUG ++@@147,349;	
2016-01-03 18:52:25.5485 DEBUG ++@@147,148;	
2016-01-03 18:52:25.5485 DEBUG ++@@147,146;	
2016-01-03 18:52:25.5655 DEBUG ++@@146,148;	
2016-01-03 18:52:25.5655 DEBUG ++@@296,147;	
2016-01-03 18:52:25.5655 DEBUG ++@@348,296;	
2016-01-03 18:52:25.5825 DEBUG ++@@295,147;	
2016-01-03 18:52:25.5825 DEBUG ++@@296,295;	
2016-01-03 18:52:25.5825 DEBUG ++@@150,296;	
2016-01-03 18:52:25.5996 DEBUG ++@@297,296;	
2016-01-03 18:52:25.5996 DEBUG ++@@346,410;	
2016-01-03 18:52:25.6106 DEBUG ++@@324,346;	
2016-01-03 18:52:25.6106 DEBUG ++@@410,324;	
2016-01-03 18:52:25.6106 DEBUG ++@@324,386;	
2016-01-03 18:52:25.6266 DEBUG ++@@324,411;	
